task,fusion,modalities,n_runs,test_accuracy_mean_std,test_macro_f1_mean_std,nonoverlap_macro_f1_mean_std,folder_macro_f1_mean_std,params_mean
surface,gated,imu+tof+mag,3,0.6767 ± 0.1342,0.6538 ± 0.1038,0.6505 ± 0.1037,0.7007 ± 0.0487,134184.0
surface,concat,imu+tof+mag,3,0.6780 ± 0.1135,0.6458 ± 0.0872,0.6480 ± 0.0830,0.6349 ± 0.1105,138597.0
surface,concat,tof+mag,3,0.6433 ± 0.0740,0.6450 ± 0.0824,0.6422 ± 0.0812,0.7488 ± 0.1497,58437.0
surface,single,tof,3,0.6213 ± 0.0705,0.6362 ± 0.0724,0.6326 ± 0.0714,0.6781 ± 0.1029,26245.0
surface,gated,tof+mag,3,0.6204 ± 0.0912,0.6271 ± 0.0906,0.6273 ± 0.0894,0.7488 ± 0.1830,58583.0
surface,concat,imu+tof,3,0.6736 ± 0.0679,0.6241 ± 0.0471,0.6255 ± 0.0475,0.6130 ± 0.0929,116101.0
surface,single,imu,3,0.6108 ± 0.0577,0.5520 ± 0.0863,0.5519 ± 0.0866,0.5943 ± 0.0070,84005.0
surface,gated,imu+mag,3,0.5916 ± 0.1418,0.5317 ± 0.1609,0.5252 ± 0.1555,0.5469 ± 0.1640,116343.0
surface,concat,imu+mag,3,0.5652 ± 0.1232,0.5086 ± 0.1441,0.5110 ± 0.1383,0.5253 ± 0.1312,116197.0
surface,single,mag,3,0.2285 ± 0.0739,0.2239 ± 0.0723,0.2238 ± 0.0744,0.2094 ± 0.1199,26341.0
