task,fusion,modalities,folds,n_runs,mean_test_accuracy,std_test_accuracy,mean_test_macro_f1,std_test_macro_f1,mean_nonoverlap_macro_f1,mean_folder_macro_f1,mean_majority_baseline_macro_f1,mean_params,mean_size_mb
activity,gated,audio+image,"test_p1p2,test_p3,test_p4",3,0.8465808232169724,0.0988139789312993,0.8385513368492438,0.1032058489325591,0.8407714742391129,0.8494669546925921,0.1753190220111451,165461.0,2.0691680908203125
activity,concat,mag+audio,"test_p1p2,test_p3,test_p4",3,0.8398445886796054,0.055303594352180414,0.8370576427927808,0.05059401068923212,0.8377470203667577,0.836358680713289,0.1753190220111451,70819.0,0.9443130493164062
activity,gated,tof+mag+image,"test_p1p2,test_p3,test_p4",3,0.8383342146001472,0.03859099078759768,0.8299649673385177,0.04285481976581495,0.8297830258580733,0.8482380458069169,0.1753190220111451,170758.0,2.1630172729492188
activity,gated,tof+audio+image,"test_p1p2,test_p3,test_p4",3,0.8311287094347821,0.09254466213044794,0.8244398945526138,0.09703886930576866,0.824388183383487,0.8314508894673577,0.1753190220111451,183302.0,2.31573486328125
activity,concat,mag+image,"test_p1p2,test_p3,test_p4",3,0.8350185201382451,0.052624387852800915,0.8243937208361564,0.05200191441932689,0.8258604711166933,0.8370330210946048,0.1753190220111451,152771.0,1.8954849243164062
activity,gated,tof+image,"test_p1p2,test_p3,test_p4",3,0.8270409321103932,0.05456474755415826,0.8181463382507612,0.05761197034992029,0.8179804448145941,0.8346922290761306,0.1753190220111451,152821.0,1.9148178100585938
activity,concat,tof+mag,"test_p1p2,test_p3,test_p4",3,0.8041395388509187,0.07673282719298538,0.7951812931304082,0.07819675347450139,0.7970031497159148,0.8035645551693048,0.1753190220111451,58179.0,0.7886886596679688
activity,gated,mag+image,"test_p1p2,test_p3,test_p4",3,0.7728796027895778,0.05074343919715175,0.7372135922703275,0.08639257889971269,0.7347206546305434,0.7550736214672407,0.1753190220111451,152917.0,1.9163055419921875
activity,concat,tof+image,"test_p1p2,test_p3,test_p4",3,0.7510060151158374,0.05139788561011074,0.7279591538295422,0.0678615222415221,0.7275102173145663,0.7435534108034648,0.1753190220111451,152675.0,1.8930435180664062
activity,gated,tof+mag,"test_p1p2,test_p3,test_p4",3,0.741773368295935,0.13482341933209782,0.7203956459456479,0.1473305387605903,0.7209711369990917,0.7146960598341016,0.1753190220111451,58325.0,0.8100051879882812
activity,single,image,"test_p1p2,test_p3,test_p4",3,0.7171319792573471,0.08088041907693612,0.6752768495670161,0.12883559301776515,0.6740591643106191,0.6828164948485211,0.1753190220111451,120579.0,1.4691543579101562
